No;Nama;Rating;Review;Link
23;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;5;Packing cukup baik, respon juga cepat, kualitas barang utk harga segitu cukup baik.., semoga barangnya awet, sukses terus utk tokonya, terima kasih...!!;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
24;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;5;Terimakasih seller, barang berfungsi dengan baik, pegemasan rapi. Mantap deh.;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
25;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;4;Barang sudah sampai dengan selamat, bagus kok ada RGB nya sesuai dengan harga, suaranya pas ngetik klitik klitik estetika banget;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
26;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;4;Barang sampai dengan selamat, gk ada yg rusak dn kurang. Keyboard dn mouse berfungsi dengan baik, lampunya juga menyala, semoga aja awet barangnya;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
27;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;4;Mantap keyborad dan mousenya berfungsi dengan baik dan pengiriman standar ;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
28;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;4;Paket sudah sampai seneng bangettt lampunya bikin nagih ngetik tugas jadi gak bosen uww wkwk. Mouse nya juga ganteng banget ;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
29;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;3;Barang sudah sampai,, pengiriman lama menurut saya karena masih satu kota, keyboard berfungsi tapi buat ngetik typo2 n Ngadad/ngelag, mouse bagus.. semoga awet aja;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
30;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;3;Kualitas produk baik. Pengiriman cepat. Pengemasan rapi.;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
31;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;3;Keyboardnya pecah belakangnya.udh ada bubble nya tp mgkn pas pengiriman ditindih dg barang lain. Di packingnya tdk ada tulisan fragile nya jg. Saran aja buat ke depannya. ;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
32;Bonkyo Paket Gaming Keyboard dan Mouse RGB / Set Gaming Mouse dan Keyboard USB Cable RGB;3;Yah produk lumayan tapi penangananya kurang 🙃;https://shopee.co.id/Bonkyo-Paket-Gaming-Keyboard-dan-Mouse-RGB-Set-Gaming-Mouse-dan-Keyboard-USB-Cable-RGB-i.159093915.7031061504?sp_atk=e8c37778-7515-4775-b652-b21709687d1e&xptdk=e8c37778-7515-4775-b652-b21709687d1e
