No;Nama;Rating;Review;Link
55;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;2;"Bahan lumayan bagus, ringan, tombolnya responsif dan nyaman di tekan. tetapi tombol ""W"" terlalu responsif dikasih sedikit tenaga saja langsung terpencet, lampu RGB jelek, sangat tidak sesuai dengan gambar, overall 3/10 yaahhh untuk harga 50k lumayan lah ga bisa berharap lebih";
56;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;2;Sangat kecewa;
57;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;1;Pengiriman sih cepat .. tapi barang nya rusak/cacat ..;
58;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;1;Barang sesuai dengan dipesan, namun barangnya beda warna tidak sesuai dengan pesanan yg jelas sudah tertera saya pesan warna putih dengan harga yg lebih mahal dari pada warna hitam putih tapi malah yang sampai hitam putih, dan saat dicek barang bagian samping keyboard ada yg hancur. ;
59;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;1;Baru berapa hari , kadang hidup kadanb tdk. Dan mousenya lari , hrs copot dlu baru bener. Hadeh;
60;keyboard gaming and mouse set mechanical rgb led combo kable SHIPADOO-D280/keyboard;1;Pesen warna hitam di kirim warna putihhh;
61;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;5;Rekomen banget nih keyboard semoga awet tahan lama, sumpah harga 30han udah dapet sebagus ini subhanallah dan toko amanah banget terimakasih min??;https://shopee.co.id/Keyboard-Votre-Basic-Usb-Kb2308-Hitam-key-board-PC-laptop-komputer-i.3260082.24063029?sp_atk=6ab41f20-695f-4d19-80b2-c3d4b769ae68&xptdk=6ab41f20-695f-4d19-80b2-c3d4b769ae68
62;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;5;Alhamdulillah barang datang dengan aman dan cepat, seller sat set fast respon. Untuk fungsi alhamdulilah berfungsi dengan baik, harga murah tapi nyaman dan mantap, terima kasih banyak seller. Semoga awet ini keyboard hehe.;
63;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;5;Pengiriman cepat, barang aman dan berfungsi, tidak ada kendala. Not bad lah;
64;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;5;Barang datang dengan baik, walaupun terdapat sedikit cairan agak berminyak yang terdapat pada bagian keyboard namun keyboard dapat berfungsi dengan semestinya. Hal ini menunjukkan bahwa keyboard tersebut waterproof. Keyboard bagus, desain ergonomi, nyaman, anti air (drop), dan harga bersahabat. Nice lah;
65;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;4;Keyboard nya baguss cuma tu klo di buat ngetik ada tombol yg gamau muncul di layar monitor aku bingung,waktu penggabungan kata ga bisa di pencet,tpi klo pencet satu² bisa,cuma ttp suka soalnya nyaman waktu di pencet tombolnya;
66;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;4;Pelayanan tokonya oke, cuma merknya yg ga oke.;
67;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;4;respon penjual cepat tp giliran ada komplain langsung ga dibalas. saya kasih bintang 4 karna keyboardnya lumayan oke walopun tombol shift sama angkanya ada yg ga berfungsi bagi saya msh bisa dipake.;
68;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;4;Barang sudah sampai diterima dalam keadaan baik-baik saja serta mendarat dengan seeelaamaattt...??Barang sudah sampai diterima dalam keadaan baik-baik saja serta mendarat dengan seeelaamaattt...??;
69;Keyboard Votre Basic Usb Kb2308 Hitam / key board PC laptop komputer;3;Barang sudah diterima, Cuma sayang keyboardnya ada yg pecah diatas tombol delete, untung masih berfungsi, cuma tombol delete agak main main;
